TitleNumber,Title,WtrPubIndicator,PubType,Participant,Share,IPNameNumber,CurrentAffliation,RegistrationDate,RegistrationOrigin,ISWCNumber,SongviewStatus
54356395,INCANTATIONS,P,O,MANUSCRIPT,0.0,686021835,NA      ,01/30/2022,WORKS REGISTRATION,T3089770167,Reconciled
54356395,INCANTATIONS,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,01/30/2022,WORKS REGISTRATION,T3089770167,Reconciled
65390249,DOMESTIC TERRORIST,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3235967569,Reconciled
65390249,DOMESTIC TERRORIST,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3235967569,Reconciled
65390260,DOWN THE RABBIT HOLE,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3235967774,Reconciled
65390260,DOWN THE RABBIT HOLE,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3235967774,Reconciled
65390266,PSYCHOLOGICAL WARFARE,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3236036714,Reconciled
65390266,PSYCHOLOGICAL WARFARE,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3236036714,Reconciled
65390303,SHADOW IS RISING,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3235968028,Reconciled
65390303,SHADOW IS RISING,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3235968028,Reconciled
65390307,INVOKATION,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3235967796,Reconciled
65390307,INVOKATION,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3235967796,Reconciled
65390328,KRYSTAL KLEAR,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3236036963,Reconciled
65390328,KRYSTAL KLEAR,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3236036963,Reconciled
65390337,WHEN SHIT GETS REAL,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3236036634,Reconciled
65390337,WHEN SHIT GETS REAL,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3236036634,Reconciled
65390341,SYNTHESIS,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3236036441,Reconciled
65390341,SYNTHESIS,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3236036441,Reconciled
65390342,RELENTLESS,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3235967661,Reconciled
65390342,RELENTLESS,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3235967661,Reconciled
65390343,NEVER HEARD OF ME,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3236036349,Reconciled
65390343,NEVER HEARD OF ME,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3236036349,Reconciled
65390344,SPITEFUL POETRY,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3235967592,Reconciled
65390344,SPITEFUL POETRY,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3235967592,Reconciled
65390345,DEVIL S IN THE DETAILS,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3236036769,Reconciled
65390345,DEVIL S IN THE DETAILS,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3236036769,Reconciled
65390348,GAME,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3235967467,Reconciled
65390348,GAME,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3235967467,Reconciled
65390485,WILL YOU LISTEN,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3236036258,Reconciled
65390485,WILL YOU LISTEN,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3236036258,Reconciled
65390486,MIND KONTROL,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/08/2024,WORKS REGISTRATION,T3236036167,Reconciled
65390486,MIND KONTROL,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/08/2024,WORKS REGISTRATION,T3236036167,Reconciled
65481058,SUPERSTITIONS,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/11/2024,WORKS REGISTRATION,T3237459433,Reconciled
65481058,SUPERSTITIONS,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/11/2024,WORKS REGISTRATION,T3237459433,Reconciled
65481062,BEHOLD A PALE HORSE,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/11/2024,WORKS REGISTRATION,T3237459717,Reconciled
65481062,BEHOLD A PALE HORSE,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/11/2024,WORKS REGISTRATION,T3237459717,Reconciled
65481063,KAMIKAZE,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/11/2024,WORKS REGISTRATION,T3237459648,Reconciled
65481063,KAMIKAZE,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/11/2024,WORKS REGISTRATION,T3237459648,Reconciled
65481066,WHISTLE BLOWER,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/11/2024,WORKS REGISTRATION,T3237459535,Reconciled
65481066,WHISTLE BLOWER,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/11/2024,WORKS REGISTRATION,T3237459535,Reconciled
65481071,STORY OF OUR FORMER GLORY,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/11/2024,WORKS REGISTRATION,T3237459331,Reconciled
65481071,STORY OF OUR FORMER GLORY,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/11/2024,WORKS REGISTRATION,T3237459331,Reconciled
65481072,WARNING SHOTS,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/11/2024,WORKS REGISTRATION,T3237459273,Reconciled
65481072,WARNING SHOTS,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/11/2024,WORKS REGISTRATION,T3237459273,Reconciled
65481074,FUCK SOCIETY,P,O,MANUSCRIPT,0.0,686021835,NA      ,02/11/2024,WORKS REGISTRATION,T3237459182,Reconciled
65481074,FUCK SOCIETY,W, ,WOMACK ETHAN ROSS,200.0,671962710,BMI     ,02/11/2024,WORKS REGISTRATION,T3237459182,Reconciled
