key,title,audio_path,image_path,lyrics_path
warning_shots,HAWK-BAP-01/warning_shots,audio/HAWK-BAP-01/warning_shots.mp3,,
behold_a_pale_horse,HAWK-BAP-02/behold_a_pale_horse,audio/HAWK-BAP-02/behold_a_pale_horse.mp3,,
kamikaze,HAWK-BAP-03/kamikaze,audio/HAWK-BAP-03/kamikaze.mp3,,
whistle_blower,HAWK-BAP-04/whistle_blower,audio/HAWK-BAP-04/whistle_blower.mp3,,
scripture,HAWK-BAP-05/scripture,audio/HAWK-BAP-05/scripture.mp3,,
superstitious,HAWK-BAP-06/superstitious,audio/HAWK-BAP-06/superstitious.mp3,,
menace_to_society,HAWK-BAP-07/menace_to_society,audio/HAWK-BAP-07/menace_to_society.mp3,,
semi-automatic,HAWK-BAP-08/semi-automatic,audio/HAWK-BAP-08/semi-automatic.mp3,,
reverse_this_curse,HAWK-BAP-09/reverse_this_curse,audio/HAWK-BAP-09/reverse_this_curse.mp3,,
kt,HAWK-BAP-10/kt,audio/HAWK-BAP-10/kt.mp3,,
The Story Celebrated Throughout Time,HAWK-BAP-11/The Story Celebrated Throughout Time,audio/HAWK-BAP-11/The Story Celebrated Throughout Time.mp3,,
the_story_celebrated_throughout_time,HAWK-BAP-11/the_story_celebrated_throughout_time,audio/HAWK-BAP-11/the_story_celebrated_throughout_time.mp3,,
swordfish,HAWK-FD-01/swordfish,audio/HAWK-FD-01/swordfish.mp3,,
mic_check,HAWK-FD-02/mic_check,audio/HAWK-FD-02/mic_check.mp3,,
shakur,HAWK-FD-03/shakur,audio/HAWK-FD-03/shakur.mp3,,
last_one_left,HAWK-FD-04/last_one_left,audio/HAWK-FD-04/last_one_left.mp3,,
full_disclosure,HAWK-FD-05/full_disclosure,audio/HAWK-FD-05/full_disclosure.mp3,,
lifted,HAWK-FD-06/lifted,audio/HAWK-FD-06/lifted.mp3,,
fuck_society,HAWK-FD-07/fuck_society,audio/HAWK-FD-07/fuck_society.mp3,,
